District,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm),S.No.,Total Project Area,Plot Area,Protective Irrigation,Assured Irrigation,No Irrigation,Private,Government,Community,Others,Culturable Wasteland,Degraded Land,Rainfed Land,Plantation,No Plantation,Others.1,No Crops,Single Crops,Double Crops,Multiple Crops,Pre-Monsoon Normal (%),Pre-Monsoon Actual (%),Pre-Monsoon Departure (%),SWM Normal,SWM Actual,SWM Departure (%),NEM Normal (mm),NEM Actual (mm),NEM Departure(%),Total Normal (mm),Total Actual (mm),Total Departure (%),Normal/Excess,Cluster
Haveri,4.375093457943925,,36.26700934579439,27.394905942719625,15,32784.0,31649.1,10001.27,8840.96,12806.87,26976.42,3927.83,500.74,244.11,273.11,644.8,26914.27,815.11,2436.61,565.2,1461.36,14341.86,10039.66,2556.95,121.5,133.6,10.0,512.0,477.0,-7.0,165.7,288.6,74.0,800.0,899.0,12.0,N,0
Kalaburagi,7.166448598130841,,59.80364485981308,24.717942541154205,16,9796.0,7523.52,0.0,0.0,7523.52,7523.52,0.0,0.0,0.0,4.67,0.0,7518.85,0.0,0.0,0.0,7.75,7314.88,200.89,0.0,67.2,90.5,35.0,576.0,631.0,10.0,127.2,108.8,-14.0,771.0,831.0,8.0,N,0
Kodagu,4.054953271028038,,33.998598130841124,37.32152033943925,17,4819.0,4818.6,3623.77,0.0,1194.83,4315.62,388.0,114.98,0.0,0.0,0.96,4429.64,0.0,388.0,0.0,114.98,1608.13,2707.49,0.0,252.9,319.5,26.0,2188.0,2400.0,10.0,288.4,332.5,15.0,2729.0,3052.0,12.0,N,-1
Kolar,3.3837383177570093,,24.644672897196266,26.63391399692056,18,10271.0,7771.0,7597.13,3.33,170.54,5708.3,2023.33,33.37,6.0,1503.23,32.2,5709.2,526.04,0.0,0.33,1505.88,5556.55,170.53,12.0,117.3,113.1,-4.0,399.0,356.0,-11.0,219.3,311.6,42.0,735.0,780.0,6.0,N,0
Koppal,4.581028037383177,,35.579813084112146,21.24935378181776,19,8528.0,5728.0,324.83,0.0,5403.17,5728.0,0.0,0.0,0.0,0.0,0.0,5728.0,0.0,0.0,0.0,2.76,2843.46,2881.78,0.0,81.8,118.6,45.0,383.0,361.0,-6.0,149.3,119.1,-20.0,614.0,598.0,-3.0,N,0
Mandya,3.1709345794392525,,24.612476635514017,27.2079031116729,20,15727.4,12402.8,3891.38,201.11,8306.73,9392.03,2107.49,688.05,215.23,0.0,57.7,10531.9,424.32,308.26,1080.62,3036.54,8830.98,0.0,0.0,166.3,209.8,26.0,316.0,351.0,11.0,216.8,308.6,42.0,699.0,869.0,24.0,E,0
Mysuru,6.371542056074766,,52.19677570093458,32.33168680775701,21,11709.0,8861.75,8767.43,94.32,0.0,7430.67,1406.04,0.67,24.37,32.45,7.2,8821.1,0.0,0.0,1.0,403.79,7711.51,746.45,0.0,205.4,263.2,28.0,419.0,475.0,14.0,213.5,226.4,6.0,837.0,965.0,15.0,N,-1
Raichur,5.212429906542056,,41.84733644859813,22.774505054565424,22,9905.0,6837.01,87.91,8.28,6740.82,6818.55,18.18,0.28,0.0,6.72,6.6,6813.55,10.14,0.0,0.0,141.74,6610.6,70.33,4.2,68.9,105.7,53.0,440.0,448.0,2.0,146.2,82.6,-44.0,655.0,637.0,-3.0,N,0
Ramanagara,1.1960280373831775,,9.657943925233646,26.119477693051405,23,7226.0,4223.0,270.15,7.91,3944.94,4220.21,0.0,0.0,2.79,1.17,5.34,4216.49,0.0,0.0,0.0,4.71,4117.49,92.35,8.45,177.7,144.3,-19.0,436.0,375.0,-14.0,226.3,359.0,59.0,840.0,878.0,4.0,N,0
Shivamogga,4.764158878504673,,36.04280373831776,32.297167548878505,24,9217.0,11970.84,340.21,1148.91,10481.72,4186.74,7545.19,57.57,181.34,0.0,37.81,4158.82,946.3,5852.71,975.2,1027.07,4179.53,0.0,0.0,129.0,201.0,56.0,1991.0,2157.0,8.0,205.0,331.2,62.0,2325.0,2690.0,16.0,N,-1
Tumakuru,1.8143457943925232,,14.410000000000002,25.15681473080374,25,14204.0,11749.51,1325.62,345.66,10078.23,8923.34,578.94,2125.81,27.69,332.5,65.62,9890.1,0.0,0.4,1367.16,3075.74,7268.54,917.1,394.0,125.1,187.9,50.0,358.0,491.0,37.0,186.4,336.4,80.0,669.0,1016.0,52.0,E,0
Udupi,1.3879439252336447,,18.14700934579439,31.51309007911215,26,12552.0,12547.3,8869.83,408.42,3269.05,6595.31,5885.56,40.06,26.37,1022.15,1256.58,6332.44,2908.05,982.43,45.65,4515.02,3383.96,356.98,412.19,200.8,302.3,51.0,4022.0,4486.0,12.0,311.7,473.2,52.0,4535.0,5261.0,16.0,N,-1
Vijayapura,6.785654205607477,,56.4435046728972,22.19700726573365,29,12800.0,9999.99,2477.58,23.63,7498.78,9916.34,66.48,11.25,5.92,46.21,78.79,9874.99,0.0,0.0,0.0,143.82,8855.78,958.79,41.6,62.8,85.2,36.0,396.0,450.0,14.0,132.5,86.0,-35.0,591.0,622.0,5.0,N,0
Yadgir,4.003738317757009,,33.11271028037383,24.38382091074299,30,18405.0,15908.879,0.0,2.1,15906.779,15336.729,572.15,0.0,0.0,0.0,7.41,15901.469,0.0,0.0,0.0,553.75,15334.839,20.29,0.0,67.7,88.4,31.0,517.0,556.0,7.0,133.7,91.7,-31.0,719.0,736.0,2.0,N,0
