Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
79,Kolar,Chickkaballapura,Potato,Jalander,Local,500,2200,1800,06 Jul 2025
80,Kolar,Chickkaballapura,Potato,Local,FAQ,300,1600,1400,21 Apr 2025
81,Kolar,Chickkaballapura,Potato,Local,FAQ,300,1800,1600,26 Apr 2025
82,Kolar,Chickkaballapura,Potato,Local,FAQ,400,1600,1400,20 Apr 2025
83,Kolar,Chickkaballapura,Potato,Local,FAQ,500,2000,1700,10 May 2025
84,Kolar,Chickkaballapura,Potato,Local,FAQ,500,2000,1800,25 May 2025
85,Kolar,Chickkaballapura,Potato,Local,FAQ,600,2800,2400,02 Dec 2024
86,Kolar,Chickkaballapura,Potato,Local,FAQ,600,3500,2800,10 Nov 2024
87,Kolar,Chickkaballapura,Potato,Local,FAQ,600,3600,2600,26 Nov 2024
88,Kolar,Chickkaballapura,Potato,Local,FAQ,2000,2600,2300,21 Dec 2024
89,Kolar,Chickkaballapura,Potato,Local,FAQ,2400,2600,2500,25 Sep 2024
90,Kolar,Chickkaballapura,Potato,Local,FAQ,2400,3000,2600,27 Oct 2024
91,Kolar,Chickkaballapura,Potato,Local,FAQ,2600,3200,3100,28 Aug 2024
92,Kolar,Chickkaballapura,Potato,Local,FAQ,3000,3100,3050,05 Oct 2024
93,Kolar,Chickkaballapura,Potato,Local,Local,1800,2200,1900,09 Jul 2025
94,Kolar,Chickkaballapura,Potato,Local,Local,1800,2200,2000,27 Jul 2025
95,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,1667,1667,1667,08 May 2025
96,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,1876,2076,1976,16 Jun 2025
97,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,1900,2100,2000,30 May 2025
98,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,1927,2127,2027,17 May 2025
99,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2437,2637,2537,21 Mar 2025
100,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2565,2565,2565,25 Feb 2025
101,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2678,2878,2778,10 Sep 2024
102,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2678,2878,2778,30 Sep 2024
103,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2778,2778,2778,17 Dec 2024
104,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2778,2778,2778,20 Nov 2024
105,Hassan,Arasikere,Potato,Local,FAQ,2500,5000,2500,30 Dec 2024
106,Hassan,Arasikere,Potato,Local,FAQ,3000,3000,3000,14 Aug 2024
107,Chikmagalur,Bagepalli,Potato,Potato,FAQ,1500,2500,2000,12 Aug 2024
108,Chikmagalur,Bagepalli,Potato,Potato,FAQ,2000,3000,2500,03 Dec 2024
109,Chikmagalur,Bagepalli,Potato,Potato,FAQ,2500,3500,3000,24 Sep 2024
110,Chikmagalur,Bagepalli,Potato,Sinduri,FAQ,1800,3000,2400,02 Nov 2024
111,Bangalore,Bangalore,Potato,Local,FAQ,1200,2800,2000,22 Aug 2024
112,Bangalore,Bangalore,Potato,Local,FAQ,1200,2800,2000,28 Aug 2024
113,Bangalore,Bangalore,Potato,Local,FAQ,1400,1600,1500,19 Feb 2025
114,Bangalore,Bangalore,Potato,Local,FAQ,1600,2600,2100,14 Aug 2024
115,Bangalore,Bangalore,Potato,Local,FAQ,1600,2600,2100,16 Aug 2024
116,Bangalore,Bangalore,Potato,Local,FAQ,1600,2600,2100,26 Dec 2024
117,Bangalore,Bangalore,Potato,Local,FAQ,1600,3000,2300,24 Sep 2024
118,Bangalore,Bangalore,Potato,Local,FAQ,1600,3200,2900,13 Sep 2024
119,Bangalore,Bangalore,Potato,Local,FAQ,2600,3400,3000,07 Oct 2024
120,Bangalore,Bangalore,Potato,Local,FAQ,2600,3400,3000,08 Oct 2024
121,Bangalore,Bangalore,Potato,Local,FAQ,3400,3600,3500,03 Aug 2024
122,Bangalore,Bangalore,Potato,Potato,FAQ,2000,3000,2600,29 Oct 2024
123,Bangalore,Bangalore,Potato,Potato,FAQ,2200,3000,2600,17 Aug 2024
124,Bangalore,Bangalore,Potato,Potato,FAQ,2800,3200,3000,13 Sep 2024
125,Bangalore,Bangalore,Potato,Potato,FAQ,4000,6000,5000,04 Dec 2024
126,Kolar,Bangarpet,Potato,Jalander,FAQ,2000,3000,2500,12 Aug 2024
127,Belgaum,Belgaum,Potato,Local,FAQ,1000,2500,2000,07 Jan 2025
128,Belgaum,Belgaum,Potato,Local,FAQ,1000,3000,2500,20 Sep 2024
129,Belgaum,Belgaum,Potato,Local,FAQ,1000,3800,3200,06 Nov 2024
130,Belgaum,Belgaum,Potato,Local,FAQ,1000,3800,3200,07 Nov 2024
131,Belgaum,Belgaum,Potato,Local,FAQ,1500,2200,1800,19 Feb 2025
132,Belgaum,Belgaum,Potato,Local,FAQ,1500,2200,1800,28 Feb 2025
133,Belgaum,Belgaum,Potato,Local,FAQ,1500,3000,2800,27 Nov 2024
134,Belgaum,Belgaum,Potato,Local,FAQ,2000,4000,3500,12 Nov 2024
135,Belgaum,Belgaum,Potato,Local,FAQ,2200,3800,3200,16 Oct 2024
136,Belgaum,Belgaum,Potato,Local,FAQ,2500,3200,2800,20 Aug 2024
137,Belgaum,Belgaum,Potato,Local,Ref grade-1,1500,2200,1800,05 Feb 2025
138,Hassan,Channarayapatna,Potato,Local,FAQ,3000,3000,3000,29 Aug 2024
139,Kolar,Chickkaballapura,Potato,Local,FAQ,300,1600,1400,22 Mar 2025
140,Kolar,Chickkaballapura,Potato,Local,FAQ,300,1700,1500,15 Mar 2025
141,Kolar,Chickkaballapura,Potato,Local,FAQ,400,900,600,28 Dec 2024
142,Kolar,Chickkaballapura,Potato,Local,FAQ,500,1900,1600,05 May 2025
143,Kolar,Chickkaballapura,Potato,Local,FAQ,500,2000,1700,11 May 2025
144,Kolar,Chickkaballapura,Potato,Local,FAQ,500,2200,1800,11 Jun 2025
145,Kolar,Chickkaballapura,Potato,Local,FAQ,500,2200,2000,08 Jun 2025
146,Kolar,Chickkaballapura,Potato,Local,FAQ,600,2000,1800,27 May 2025
147,Kolar,Chickkaballapura,Potato,Local,FAQ,600,2600,2000,27 Jan 2025
148,Kolar,Chickkaballapura,Potato,Local,FAQ,600,3000,2000,17 Dec 2024
149,Kolar,Chickkaballapura,Potato,Local,FAQ,600,3000,2600,18 Jan 2025
150,Kolar,Chickkaballapura,Potato,Local,FAQ,2400,3000,2600,28 Oct 2024
151,Kolar,Chickkaballapura,Potato,Local,FAQ,3000,3400,3300,09 Oct 2024
152,Kolar,Chickkaballapura,Potato,Local,Local,500,2200,1800,05 Jul 2025
153,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,1832,2032,1932,17 Mar 2025
154,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,1838,2038,1938,16 Apr 2025
155,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,1961,1961,1961,03 Apr 2025
156,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,1984,2184,2084,28 Apr 2025
157,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2100,3100,2500,04 Sep 2024
158,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2500,2800,2600,10 Dec 2024
159,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2500,2900,2700,02 Aug 2024
160,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2600,2600,2600,14 Nov 2024
161,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2600,3100,2800,09 Aug 2024
162,Dharwad,Hubli (Amaragol),Potato,Potato,Local,1600,1900,1850,16 Jul 2025
163,Dharwad,Hubli (Amaragol),Potato,Potato,Local,1700,2000,1800,05 Jul 2025
164,Dharwad,Hubli (Amaragol),Potato,Potato,Ref grade-1,2200,2350,2250,01 Feb 2025
165,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1300,1150,21 Dec 2024
166,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1400,1200,13 Jun 2025
167,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1400,1200,21 Jun 2025
168,Kalburgi,Kalburgi,Potato,Potato,FAQ,1100,1300,1200,12 Aug 2024
169,Kalburgi,Kalburgi,Potato,Potato,Local,800,1400,1100,18 Jul 2025
170,Kolar,Kolar,Potato,Local,FAQ,1000,2000,1600,24 Apr 2025
171,Kolar,Kolar,Potato,Local,FAQ,1000,2000,1800,30 Oct 2024
172,Kolar,Kolar,Potato,Local,FAQ,1000,2500,2000,14 Aug 2024
173,Kolar,Kolar,Potato,Local,FAQ,1500,2000,1700,02 Aug 2024
174,Kolar,Kolar,Potato,Local,FAQ,1500,2000,1700,19 May 2025
175,Kolar,Kolar,Potato,Local,FAQ,1500,2000,1700,27 Dec 2024
176,Kolar,Kolar,Potato,Local,FAQ,1500,2000,1700,29 Jun 2025
177,Kolar,Kolar,Potato,Local,FAQ,1500,2500,2000,20 Jan 2025
178,Kolar,Kolar,Potato,Local,Local,1500,2000,1800,11 Jul 2025
179,Kolar,Malur,Potato,Potato,FAQ,800,1500,1000,21 Mar 2025
180,Kolar,Malur,Potato,Potato,FAQ,1800,2200,2000,21 Feb 2025
181,Kolar,Malur,Potato,Potato,Local,2000,2500,2400,31 Jul 2025
182,Mysore,Mysore (Bandipalya),Potato,Potato,FAQ,1200,1700,1400,19 Apr 2025
183,Mysore,Mysore (Bandipalya),Potato,Potato,FAQ,1500,2000,1800,18 Mar 2025
184,Mysore,Mysore (Bandipalya),Potato,Potato,FAQ,1800,2500,2000,17 Aug 2024
185,Mysore,Nanjangud,Potato,Potato,FAQ,2564,3030,2777,09 Dec 2024
186,Mysore,Nanjangud,Potato,Potato,FAQ,3030,3333,3030,23 Apr 2025
187,Mysore,Nanjangud,Potato,Potato,FAQ,3333,3333,3333,03 Jan 2025
188,Shimoga,Shimoga,Potato,Local,FAQ,2500,3000,2700,02 Jun 2025
189,Shimoga,Shimoga,Potato,Local,FAQ,2500,3000,2700,19 Mar 2025
190,Shimoga,Shimoga,Potato,Local,FAQ,2500,3000,2700,21 Mar 2025
191,Shimoga,Shimoga,Potato,Local,FAQ,2500,3000,2700,25 Jun 2025
192,Shimoga,Shimoga,Potato,Local,FAQ,2500,3000,2800,02 May 2025
193,Shimoga,Shimoga,Potato,Local,FAQ,2500,3000,2800,10 Jun 2025
194,Shimoga,Shimoga,Potato,Local,FAQ,2500,3000,2800,15 May 2025
195,Shimoga,Shimoga,Potato,Local,FAQ,3000,4000,3500,27 Feb 2025
196,Shimoga,Shimoga,Potato,Local,FAQ,3500,4000,3700,18 Dec 2024
197,Shimoga,Shimoga,Potato,Local,FAQ,3500,4000,3700,30 Dec 2024
198,Shimoga,Shimoga,Potato,Local,FAQ,3500,4000,3750,06 Nov 2024
199,Shimoga,Shimoga,Potato,Local,FAQ,3500,4000,3750,07 Oct 2024
200,Shimoga,Shimoga,Potato,Local,FAQ,3500,4000,3750,13 Aug 2024
201,Shimoga,Shimoga,Potato,Local,FAQ,3500,4000,3800,24 Sep 2024
202,Udupi,Udupi,Potato,Potato,FAQ,1800,2200,2000,17 Jun 2025
203,Udupi,Udupi,Potato,Potato,FAQ,1900,2000,2000,23 May 2025
204,Udupi,Udupi,Potato,Potato,FAQ,2400,2500,2500,07 Feb 2025
205,Udupi,Udupi,Potato,Potato,FAQ,2400,2600,2500,21 Jan 2025
206,Udupi,Udupi,Potato,Potato,FAQ,3000,3200,3100,09 Oct 2024
207,Udupi,Udupi,Potato,Potato,FAQ,3000,3500,3200,10 Jan 2025
208,Udupi,Udupi,Potato,Potato,FAQ,3300,3400,3400,26 Sep 2024
209,Udupi,Udupi,Potato,Potato,FAQ,3300,3400,3400,30 Sep 2024
210,Hassan,Arasikere,Potato,Local,FAQ,2500,3000,3000,09 Sep 2024
211,Hassan,Arasikere,Potato,Local,FAQ,2500,7000,7000,03 Aug 2024
212,Chikmagalur,Bagepalli,Potato,Potato,FAQ,2200,3500,2550,01 Jan 2025
213,Bangalore,Bangalore,Potato,Local,FAQ,1200,2800,2000,23 Aug 2024
214,Bangalore,Bangalore,Potato,Local,FAQ,1400,1800,1600,17 Feb 2025
215,Bangalore,Bangalore,Potato,Local,FAQ,2000,2400,2200,29 Jan 2025
216,Bangalore,Bangalore,Potato,Local,FAQ,2600,3400,3000,01 Oct 2024
217,Bangalore,Bangalore,Potato,Local,FAQ,3000,3600,3000,21 Oct 2024
218,Bangalore,Bangalore,Potato,Potato,FAQ,1900,2200,2000,11 Feb 2025
219,Bangalore,Bangalore,Potato,Potato,FAQ,2000,3000,2600,28 Oct 2024
220,Bangalore,Bangalore,Potato,Potato,FAQ,2200,3000,2600,08 Aug 2024
221,Bangalore,Bangalore,Potato,Potato,FAQ,2600,3200,3000,01 Aug 2024
222,Bangalore,Bangalore,Potato,Potato,FAQ,2800,3200,2800,01 Oct 2024
223,Kolar,Bangarpet,Potato,Local,FAQ,1500,3000,2500,21 Feb 2025
224,Kolar,Bangarpet,Potato,Local,FAQ,1600,3000,2400,08 Feb 2025
225,Belgaum,Belgaum,Potato,Local,FAQ,1000,3000,2500,19 Sep 2024
226,Belgaum,Belgaum,Potato,Local,FAQ,1500,2200,1800,07 Feb 2025
227,Belgaum,Belgaum,Potato,Local,FAQ,2500,3100,2800,10 Aug 2024
228,Belgaum,Belgaum,Potato,Local,FAQ,2500,3200,2800,02 Sep 2024
229,Belgaum,Belgaum,Potato,Local,FAQ,2500,3400,3000,24 Aug 2024
230,Kolar,Chickkaballapura,Potato,Local,FAQ,500,1700,1500,14 Mar 2025
231,Kolar,Chickkaballapura,Potato,Local,FAQ,500,2000,1800,23 May 2025
232,Kolar,Chickkaballapura,Potato,Local,FAQ,600,2000,1800,14 Feb 2025
233,Kolar,Chickkaballapura,Potato,Local,FAQ,600,2600,2000,18 Dec 2024
234,Kolar,Chickkaballapura,Potato,Local,FAQ,600,2700,2000,30 Dec 2024
235,Kolar,Chickkaballapura,Potato,Local,FAQ,600,3800,2600,25 Nov 2024
236,Kolar,Chickkaballapura,Potato,Local,FAQ,2400,2800,2700,22 Sep 2024
237,Kolar,Chickkaballapura,Potato,Local,FAQ,2800,3000,2900,17 Aug 2024
238,Kolar,Chickkaballapura,Potato,Local,Ref grade-1,1800,2500,2000,05 Feb 2025
239,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,1962,2162,2062,09 Jun 2025
240,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2084,2084,2084,23 May 2025
241,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2193,2193,2193,14 May 2025
242,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2565,2565,2565,01 Jan 2025
243,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2565,2565,2565,08 Jan 2025
244,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2678,2878,2778,21 Sep 2024
245,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2746,2946,2846,04 Sep 2024
246,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2778,2778,2778,22 Oct 2024
247,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2778,2778,2778,28 Jan 2025
248,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2799,2999,2899,16 Nov 2024
249,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2987,3187,3087,23 Aug 2024
250,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,3031,3031,3031,01 Aug 2024
251,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,3125,3125,3125,17 Aug 2024
252,Kolar,Chintamani,Potato,Local,FAQ,1400,2000,1700,07 May 2025
253,Davangere,Davangere,Potato,Potato,FAQ,1500,2000,1800,10 Jan 2025
254,Davangere,Davangere,Potato,Potato,FAQ,1500,2000,1800,16 Jan 2025
255,Davangere,Davangere,Potato,Potato,FAQ,1800,2200,2000,03 Aug 2024
256,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2200,17 May 2025
257,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2200,22 Apr 2025
258,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2200,27 Jun 2025
259,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2300,14 May 2025
260,Davangere,Davangere,Potato,Potato,FAQ,2000,2800,2500,05 Apr 2025
261,Bangalore,Doddaballa Pur,Potato,Local,FAQ,2500,3100,2800,13 Sep 2024
262,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2785,2985,2885,09 Oct 2024
263,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2841,3041,2941,19 Nov 2024
264,Chikmagalur,Chikkamagalore,Potato,Other,Local,2084,2084,2084,10 Jul 2025
265,Chikmagalur,Chikkamagalore,Potato,Other,Local,2084,2084,2084,30 Jul 2025
266,Davangere,Davangere,Potato,Potato,FAQ,1600,2000,1800,06 Nov 2024
267,Davangere,Davangere,Potato,Potato,FAQ,1600,2000,1800,15 Oct 2024
268,Davangere,Davangere,Potato,Potato,FAQ,1600,2000,1800,20 Nov 2024
269,Davangere,Davangere,Potato,Potato,FAQ,1600,2000,1800,26 Sep 2024
270,Davangere,Davangere,Potato,Potato,FAQ,1600,2000,1800,29 Oct 2024
271,Davangere,Davangere,Potato,Potato,FAQ,1600,2000,1800,30 Aug 2024
272,Davangere,Davangere,Potato,Potato,FAQ,1600,2000,1800,31 Dec 2024
273,Davangere,Davangere,Potato,Potato,FAQ,1800,2200,2000,09 Oct 2024
274,Davangere,Davangere,Potato,Potato,FAQ,1800,2400,2000,03 Sep 2024
275,Davangere,Davangere,Potato,Potato,FAQ,1800,2400,2000,20 Aug 2024
276,Davangere,Davangere,Potato,Potato,FAQ,1800,2500,2000,04 Oct 2024
277,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2200,21 Jun 2025
278,Davangere,Davangere,Potato,Potato,FAQ,2000,2800,2500,28 Mar 2025
279,Davangere,Davangere,Potato,Potato,FAQ,2200,2600,2400,31 Jul 2024
280,Bangalore,Doddaballa Pur,Potato,Local,FAQ,2500,3100,2800,27 Sep 2024
281,Bangalore,Doddaballa Pur,Potato,Local,FAQ,2500,3200,3000,30 Dec 2024
282,Bangalore,Doddaballa Pur,Potato,Local,FAQ,3000,3600,3300,16 Aug 2024
283,Hassan,Hassan,Potato,Potato,FAQ,900,2200,1200,20 Aug 2024
284,Hassan,Hassan,Potato,Potato,FAQ,1300,3200,1800,05 Sep 2024
285,Bangalore,Hoskote,Potato,Local,FAQ,1800,1800,1800,12 Dec 2024
286,Dharwad,Hubli (Amaragol),Potato,Other,FAQ,1900,2000,1950,24 Jan 2025
287,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,500,2200,1800,08 Jan 2025
288,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1000,2800,2000,18 Jan 2025
289,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1200,1900,1300,21 Apr 2025
290,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1400,2200,1900,06 Jan 2025
291,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1500,1700,1600,21 May 2025
292,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1600,1800,1700,24 May 2025
293,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1600,2200,1800,11 Jan 2025
294,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1700,1800,1750,23 May 2025
295,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1700,1800,1750,30 Dec 2024
296,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1700,1900,1800,29 Apr 2025
297,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1800,2200,1900,14 Jun 2025
298,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2200,2800,2400,20 Nov 2024
299,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2200,3000,2600,04 Nov 2024
300,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2500,3000,2700,26 Aug 2024
301,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2500,3000,2800,09 Sep 2024
302,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2500,3000,2800,17 Sep 2024
303,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2600,2800,2700,05 Nov 2024
304,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2600,2850,2700,19 Aug 2024
