District,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm),S.No.,Total Project Area,Plot Area,Protective Irrigation,Assured Irrigation,No Irrigation,Private,Government,Community,Others,Culturable Wasteland,Degraded Land,Rainfed Land,Plantation,No Plantation,Others.1,No Crops,Single Crops,Double Crops,Multiple Crops,Pre-Monsoon Normal (%),Pre-Monsoon Actual (%),Pre-Monsoon Departure (%),SWM Normal,SWM Actual,SWM Departure (%),NEM Normal (mm),NEM Actual (mm),NEM Departure(%),Total Normal (mm),Total Actual (mm),Total Departure (%),Normal/Excess
Davanagere,5.6593925233644855,,43.79841121495328,27.52559675962617,11,11753,11791.45,118.67,52.18,11620.6,10703.09,268.54,751.74,68.08,10,670.86,10953.35,0,0,157.24,1101,10690.45,0,0,105,145.3,38,393,506,29,161.1,301,87,659,952,45,E
Dharwad,7.586915887850467,,59.18939252336449,27.68709953351869,12,7098,2778.48,2753.01,5.19,20.28,2778.48,0,0,0,86.55,2.01,2689.92,0,0,0,87.92,2690.56,0,0,125.4,125.9,0,514,522,2,147.8,242.1,64,787,890,13,N
Gadag,7.638831775700935,,55.77439252336448,23.104356913514017,13,5600,3122.7,1.38,0,3121.32,3107.51,15.19,0,0,0,6.34,3101.17,0,0,15.19,600.45,1063.92,1458.33,0,105.5,102,-3,372,339,-9,147,141.8,-4,624,583,-7,N
Hassan,1.8332710280373832,,15.689439252336449,29.57252210869159,14,11787,11786.33,1833.2,4.32,9948.81,10091.03,1432.55,4.5,258.25,229.57,757.49,9361.5,325.52,95.99,1016.26,1283.38,9834.53,246.91,0,168.4,293.3,74,754,997,32,219.8,289.4,32,1142,1580,38,E
Haveri,4.375093457943925,,36.26700934579439,27.394905942719625,15,32784,31649.1,10001.27,8840.96,12806.87,26976.42,3927.83,500.74,244.11,273.11,644.8,26914.27,815.11,2436.61,565.2,1461.36,14341.86,10039.66,2556.95,121.5,133.6,10,512,477,-7,165.7,288.6,74,800,899,12,N
Kalaburagi,7.166448598130841,,59.80364485981308,24.717942541154205,16,9796,7523.52,0,0,7523.52,7523.52,0,0,0,4.67,0,7518.85,0,0,0,7.75,7314.88,200.89,0,67.2,90.5,35,576,631,10,127.2,108.8,-14,771,831,8,N
Kodagu,4.054953271028038,,33.998598130841124,37.32152033943925,17,4819,4818.6,3623.77,0,1194.83,4315.62,388,114.98,0,0,0.96,4429.64,0,388,0,114.98,1608.13,2707.49,0,252.9,319.5,26,2188,2400,10,288.4,332.5,15,2729,3052,12,N
Kolar,3.3837383177570093,,24.644672897196266,26.63391399692056,18,10271,7771,7597.13,3.33,170.54,5708.3,2023.33,33.37,6,1503.23,32.2,5709.2,526.04,0,0.33,1505.88,5556.55,170.53,12,117.3,113.1,-4,399,356,-11,219.3,311.6,42,735,780,6,N
Koppal,4.581028037383177,,35.579813084112146,21.24935378181776,19,8528,5728,324.83,0,5403.17,5728,0,0,0,0,0,5728,0,0,0,2.76,2843.46,2881.78,0,81.8,118.6,45,383,361,-6,149.3,119.1,-20,614,598,-3,N
Mandya,3.1709345794392525,,24.612476635514017,27.2079031116729,20,15727.4,12402.8,3891.38,201.11,8306.73,9392.03,2107.49,688.05,215.23,0,57.7,10531.9,424.32,308.26,1080.62,3036.54,8830.98,0,0,166.3,209.8,26,316,351,11,216.8,308.6,42,699,869,24,E
Mysuru,6.371542056074766,,52.19677570093458,32.33168680775701,21,11709,8861.75,8767.43,94.32,0,7430.67,1406.04,0.67,24.37,32.45,7.2,8821.1,0,0,1,403.79,7711.51,746.45,0,205.4,263.2,28,419,475,14,213.5,226.4,6,837,965,15,N
Raichur,5.212429906542056,,41.84733644859813,22.774505054565424,22,9905,6837.01,87.91,8.28,6740.82,6818.55,18.18,0.28,0,6.72,6.6,6813.55,10.14,0,0,141.74,6610.6,70.33,4.2,68.9,105.7,53,440,448,2,146.2,82.6,-44,655,637,-3,N
Ramanagara,1.1960280373831775,,9.657943925233646,26.119477693051405,23,7226,4223,270.15,7.91,3944.94,4220.21,0,0,2.79,1.17,5.34,4216.49,0,0,0,4.71,4117.49,92.35,8.45,177.7,144.3,-19,436,375,-14,226.3,359,59,840,878,4,N
Shivamogga,4.764158878504673,,36.04280373831776,32.297167548878505,24,9217,11970.84,340.21,1148.91,10481.72,4186.74,7545.19,57.57,181.34,0,37.81,4158.82,946.3,5852.71,975.2,1027.07,4179.53,0,0,129,201,56,1991,2157,8,205,331.2,62,2325,2690,16,N
Tumakuru,1.8143457943925232,,14.410000000000002,25.15681473080374,25,14204,11749.51,1325.62,345.66,10078.23,8923.34,578.94,2125.81,27.69,332.5,65.62,9890.1,0,0.4,1367.16,3075.74,7268.54,917.1,394,125.1,187.9,50,358,491,37,186.4,336.4,80,669,1016,52,E
Udupi,1.3879439252336447,,18.14700934579439,31.51309007911215,26,12552,12547.3,8869.83,408.42,3269.05,6595.31,5885.56,40.06,26.37,1022.15,1256.58,6332.44,2908.05,982.43,45.65,4515.02,3383.96,356.98,412.19,200.8,302.3,51,4022,4486,12,311.7,473.2,52,4535,5261,16,N
Uttara Kannada,3.5859813084112147,,29.50168224299065,34.7901708817757,27,6547,6441.9473,8.28,1.27,6432.3973,2875.1213,3149.286,417.05,0.49,503.5563,156.17,2694.121,1144.52,1877.806,65.774,1789.6213,1628.78,1,1.16,,,,,,,,,,,,,
Vijayanagara,,,,,28,5001,4262.63,475.32,0,3787.31,4182.22,1.1,0,79.31,0,1.29,4180.93,0,0,80.41,80.41,3849.38,332.84,0,98.6,117.8,19,389,417,7,154.8,228.8,48,643,764,19,N
Vijayapura,6.785654205607477,,56.4435046728972,22.19700726573365,29,12800,9999.99,2477.58,23.63,7498.78,9916.34,66.48,11.25,5.92,46.21,78.79,9874.99,0,0,0,143.82,8855.78,958.79,41.6,62.8,85.2,36,396,450,14,132.5,86,-35,591,622,5,N
Yadgir,4.003738317757009,,33.11271028037383,24.38382091074299,30,18405,15908.879,0,2.1,15906.779,15336.729,572.15,0,0,0,7.41,15901.469,0,0,0,553.75,15334.839,20.29,0,67.7,88.4,31,517,556,7,133.7,91.7,-31,719,736,2,N
