district_name,year,crop,season,area,production,yield
Bagalkot,2012 - 2013,maize,kharif,41945.0,106154.0,2.53
Bagalkot,2012 - 2013,maize,rabi,24328.0,63025.0,2.59
Bagalkot,2012 - 2013,moong,kharif,925.0,48.0,0.05
Bagalkot,2012 - 2013,nigerseed,kharif,6.0,1.0,0.17
Bagalkot,2012 - 2013,onion,kharif,7720.0,69292.0,8.98
Bagalkot,2012 - 2013,onion,rabi,1094.0,8916.0,8.15
Bagalkot,2012 - 2013,other_kharif_pulses,kharif,282.0,104.0,0.37
Bagalkot,2012 - 2013,other_rabi_pulses,rabi,44.0,20.0,0.45
Bagalkot,2012 - 2013,rice,kharif,49.0,125.0,2.55
Bagalkot,2012 - 2013,safflower,rabi,1338.0,824.0,0.62
Bagalkot,2012 - 2013,sesamum,kharif,37.0,14.0,0.38
Bagalkot,2012 - 2013,soyabean,kharif,285.0,224.0,0.79
Bagalkot,2012 - 2013,sugarcane,whole_year,91361.0,7984951.0,87.4
Bagalkot,2012 - 2013,sunflower,kharif,6208.0,3291.0,0.53
Bagalkot,2012 - 2013,sunflower,rabi,32822.0,17274.0,0.53
Bagalkot,2012 - 2013,sweetpotato,whole_year,12.0,186.0,15.5
Bagalkot,2012 - 2013,turmeric,whole_year,1797.0,9159.0,5.1
Bagalkot,2012 - 2013,wheat,rabi,20920.0,18662.0,0.89
Bagalkot,2013 - 2014,arhar_tur,kharif,4074.0,2129.0,0.52
Bagalkot,2013 - 2014,bajra,kharif,26519.0,24211.0,0.91
Bagalkot,2013 - 2014,blackpepper,whole_year,6.0,15.0,2.5
Bagalkot,2013 - 2014,cashewnut,whole_year,3.0,3.0,1.0
Bagalkot,2013 - 2014,coconut,whole_year,776.0,6157000.0,7934.28
Bagalkot,2013 - 2014,coriander,whole_year,94.0,27.0,0.29
Bagalkot,2013 - 2014,cotton,kharif,606.0,1795.0,2.96
Bagalkot,2013 - 2014,cotton,rabi,354.0,653.0,1.84
Bagalkot,2013 - 2014,cowpea,kharif,555.0,207.0,0.37
Bagalkot,2013 - 2014,cowpea,rabi,45.0,19.0,0.42
Bagalkot,2013 - 2014,drychillies,kharif,1227.0,5383.0,4.39
Bagalkot,2013 - 2014,drychillies,rabi,622.0,1074.0,1.73
Bagalkot,2013 - 2014,gram,rabi,74086.0,58135.0,0.78
Bagalkot,2013 - 2014,groundnut,kharif,2082.0,1454.0,0.7
Bagalkot,2013 - 2014,horse-gram,kharif,389.0,92.0,0.24
Bagalkot,2013 - 2014,horse-gram,rabi,930.0,188.0,0.2
Bagalkot,2013 - 2014,jowar,kharif,2708.0,4757.0,1.76
Bagalkot,2013 - 2014,jowar,rabi,113387.0,109980.0,0.97
Bagalkot,2013 - 2014,linseed,rabi,1487.0,225.0,0.15
Bagalkot,2013 - 2014,maize,kharif,51814.0,183308.0,3.54
Bagalkot,2013 - 2014,maize,rabi,20503.0,67647.0,3.3
Bagalkot,2013 - 2014,moong,kharif,37597.0,4750.0,0.13
Bagalkot,2013 - 2014,nigerseed,kharif,106.0,23.0,0.22
Bagalkot,2013 - 2014,onion,kharif,10683.0,96861.0,9.07
Bagalkot,2013 - 2014,onion,rabi,972.0,9730.0,10.01
Bagalkot,2013 - 2014,other_kharif_pulses,kharif,345.0,110.0,0.32
Bagalkot,2013 - 2014,other_rabi_pulses,rabi,35.0,28.0,0.8
Bagalkot,2013 - 2014,rice,kharif,54.0,160.0,2.96
Bagalkot,2013 - 2014,safflower,rabi,910.0,272.0,0.3
Bagalkot,2013 - 2014,sannhamp,whole_year,3.0,1.0,0.33
Bagalkot,2013 - 2014,sesamum,kharif,988.0,368.0,0.37
Bagalkot,2013 - 2014,soyabean,kharif,3011.0,3613.0,1.2
Bagalkot,2013 - 2014,sugarcane,whole_year,86942.0,9002844.0,103.55
Bagalkot,2013 - 2014,sunflower,kharif,13697.0,7508.0,0.55
Bagalkot,2013 - 2014,sunflower,rabi,32687.0,17669.0,0.54
Bagalkot,2013 - 2014,turmeric,whole_year,1703.0,9670.0,5.68
Bagalkot,2013 - 2014,wheat,rabi,17901.0,20713.0,1.16
Bagalkot,2014 - 2015,arhar_tur,kharif,6144.0,2673.0,0.44
Bagalkot,2014 - 2015,bajra,kharif,22021.0,24288.0,1.1
Bagalkot,2014 - 2015,coconut,whole_year,743.0,6630000.0,8923.28
Bagalkot,2014 - 2015,coriander,whole_year,125.0,42.0,0.34
Bagalkot,2014 - 2015,cotton,kharif,3299.0,8996.0,2.73
Bagalkot,2014 - 2015,cotton,rabi,210.0,334.0,1.59
Bagalkot,2014 - 2015,cowpea,kharif,83.0,36.0,0.43
Bagalkot,2014 - 2015,cowpea,rabi,120.0,44.0,0.37
Bagalkot,2014 - 2015,drychillies,kharif,977.0,1788.0,1.83
Bagalkot,2014 - 2015,drychillies,rabi,669.0,2021.0,3.02
Bagalkot,2014 - 2015,ginger,whole_year,134.0,3892.0,29.04
Bagalkot,2014 - 2015,gram,rabi,91880.0,54728.0,0.6
Bagalkot,2014 - 2015,groundnut,kharif,1406.0,1344.0,0.96
Bagalkot,2014 - 2015,horse-gram,kharif,337.0,90.0,0.27
Bagalkot,2014 - 2015,horse-gram,rabi,925.0,332.0,0.36
Bagalkot,2014 - 2015,jowar,kharif,965.0,1492.0,1.55
Bagalkot,2014 - 2015,jowar,rabi,104822.0,102867.0,0.98
Bagalkot,2014 - 2015,linseed,rabi,1770.0,454.0,0.26
Bagalkot,2014 - 2015,maize,kharif,44472.0,166543.0,3.74
Bagalkot,2014 - 2015,maize,rabi,20789.0,81388.0,3.91
Bagalkot,2014 - 2015,moong,kharif,22974.0,4081.0,0.18
Bagalkot,2014 - 2015,nigerseed,kharif,74.0,20.0,0.27
Bagalkot,2014 - 2015,onion,kharif,10969.0,82750.0,7.54
Bagalkot,2014 - 2015,onion,rabi,1237.0,10051.0,8.13
Bagalkot,2014 - 2015,other_kharif_pulses,kharif,182.0,80.0,0.44
Bagalkot,2014 - 2015,other_rabi_pulses,rabi,36.0,28.0,0.78
Bagalkot,2014 - 2015,rice,kharif,25.0,76.0,3.04
Bagalkot,2014 - 2015,safflower,rabi,890.0,348.0,0.39
Bagalkot,2014 - 2015,sesamum,kharif,188.0,86.0,0.46
Bagalkot,2014 - 2015,soyabean,kharif,2505.0,2401.0,0.96
Bagalkot,2014 - 2015,sugarcane,whole_year,93679.0,10234431.0,109.25
Bagalkot,2014 - 2015,sunflower,kharif,13020.0,8151.0,0.63
Bagalkot,2014 - 2015,sunflower,rabi,26474.0,16599.0,0.63
Bagalkot,2014 - 2015,turmeric,whole_year,2164.0,15005.0,6.93
Bagalkot,2014 - 2015,urad,kharif,630.0,175.0,0.28
Bagalkot,2014 - 2015,wheat,rabi,23237.0,36071.0,1.55
Bagalkot,2015 - 2016,arhar_tur,kharif,4547.0,1261.0,0.28
Bagalkot,2015 - 2016,bajra,kharif,15898.0,8669.0,0.55
Bagalkot,2015 - 2016,coconut,whole_year,745.0,6230000.0,8362.42
Bagalkot,2015 - 2016,coriander,whole_year,150.0,64.0,0.43
Bagalkot,2015 - 2016,cotton,kharif,1618.0,6401.0,3.96
Bagalkot,2015 - 2016,cotton,rabi,200.0,239.0,1.2
Bagalkot,2015 - 2016,cowpea,kharif,151.0,63.0,0.42
Bagalkot,2015 - 2016,cowpea,rabi,162.0,72.0,0.44
Bagalkot,2015 - 2016,drychillies,kharif,1097.0,2078.0,1.89
Bagalkot,2015 - 2016,drychillies,rabi,292.0,718.0,2.46
Bagalkot,2015 - 2016,garlic,whole_year,7.0,9.0,1.29
Bagalkot,2015 - 2016,ginger,whole_year,54.0,2016.0,37.33
Bagalkot,2015 - 2016,gram,rabi,133071.0,62577.0,0.47
Bagalkot,2015 - 2016,groundnut,kharif,723.0,662.0,0.92
Bagalkot,2015 - 2016,horse-gram,kharif,94.0,14.0,0.15
Bagalkot,2015 - 2016,horse-gram,rabi,792.0,239.0,0.3
Bagalkot,2015 - 2016,jowar,kharif,1455.0,1697.0,1.17
Bagalkot,2015 - 2016,jowar,rabi,109159.0,92398.0,0.85
Bagalkot,2015 - 2016,linseed,rabi,2419.0,324.0,0.13
Bagalkot,2015 - 2016,maize,kharif,27789.0,102932.0,3.7
Bagalkot,2015 - 2016,maize,rabi,13864.0,45242.0,3.26
Bagalkot,2015 - 2016,moong,kharif,21067.0,1081.0,0.05
Bagalkot,2015 - 2016,onion,kharif,12810.0,89507.0,6.99
Bagalkot,2015 - 2016,onion,rabi,1549.0,13303.0,8.59
Bagalkot,2015 - 2016,other_kharif_pulses,kharif,55.0,22.0,0.4
Bagalkot,2015 - 2016,rice,kharif,32.0,87.0,2.72
Bagalkot,2015 - 2016,safflower,rabi,1109.0,262.0,0.24
Bagalkot,2015 - 2016,sesamum,kharif,492.0,102.0,0.21
Bagalkot,2015 - 2016,soyabean,kharif,1894.0,2058.0,1.09
Bagalkot,2015 - 2016,sugarcane,whole_year,94085.0,9027456.0,95.95
Bagalkot,2015 - 2016,sunflower,kharif,8412.0,4515.0,0.54
Bagalkot,2015 - 2016,sunflower,rabi,19706.0,9491.0,0.48
Bagalkot,2015 - 2016,turmeric,whole_year,2611.0,16089.0,6.16
Bagalkot,2015 - 2016,urad,kharif,4.0,1.0,0.25
Bagalkot,2015 - 2016,wheat,rabi,20118.0,27808.0,1.38
Bagalkot,2016 - 2017,arhar_tur,kharif,37261.0,29239.0,0.78
Bagalkot,2016 - 2017,bajra,kharif,29342.0,32809.0,1.12
Bagalkot,2016 - 2017,coconut,whole_year,777.0,6075000.0,7818.53
Bagalkot,2016 - 2017,coriander,whole_year,10.0,4.0,0.4
Bagalkot,2016 - 2017,cotton,kharif,794.0,1664.0,2.1
Bagalkot,2016 - 2017,cotton,rabi,210.0,67.0,0.32
Bagalkot,2016 - 2017,cowpea,kharif,255.0,195.0,0.76
Bagalkot,2016 - 2017,cowpea,rabi,55.0,1.0,0.02
Bagalkot,2016 - 2017,drychillies,kharif,3277.0,5364.0,1.64
Bagalkot,2016 - 2017,drychillies,rabi,1226.0,2715.0,2.21
Bagalkot,2016 - 2017,garlic,whole_year,40.0,33.0,0.83
Bagalkot,2016 - 2017,ginger,whole_year,22.0,556.0,25.27
Bagalkot,2016 - 2017,gram,rabi,101083.0,32554.0,0.32
Bagalkot,2016 - 2017,groundnut,kharif,1390.0,1158.0,0.83
Bagalkot,2016 - 2017,horse-gram,kharif,305.0,40.0,0.13
Bagalkot,2016 - 2017,horse-gram,rabi,509.0,35.0,0.07
Bagalkot,2016 - 2017,jowar,kharif,969.0,1662.0,1.72
Bagalkot,2016 - 2017,jowar,rabi,97615.0,46831.0,0.48
Bagalkot,2016 - 2017,linseed,rabi,1746.0,80.0,0.05
Bagalkot,2016 - 2017,maize,kharif,52604.0,204393.0,3.89
Bagalkot,2016 - 2017,maize,rabi,10980.0,43445.0,3.96
Bagalkot,2016 - 2017,moong,kharif,41100.0,8941.0,0.22
Bagalkot,2016 - 2017,onion,kharif,18880.0,223214.0,11.82
Bagalkot,2016 - 2017,onion,rabi,4218.0,72637.0,17.22
Bagalkot,2016 - 2017,other_kharif_pulses,kharif,219.0,77.0,0.35
Bagalkot,2016 - 2017,rice,kharif,17.0,47.0,2.76
Bagalkot,2016 - 2017,safflower,rabi,1133.0,83.0,0.07
Bagalkot,2016 - 2017,sesamum,kharif,240.0,106.0,0.44
Bagalkot,2016 - 2017,small_millets,kharif,12.0,3.0,0.25
Bagalkot,2016 - 2017,soyabean,kharif,3955.0,3949.0,1.0
Bagalkot,2016 - 2017,sugarcane,whole_year,88266.0,6372805.0,72.2
Bagalkot,2016 - 2017,sunflower,kharif,16527.0,8824.0,0.53
Bagalkot,2016 - 2017,sunflower,rabi,17327.0,6123.0,0.35
Bagalkot,2016 - 2017,turmeric,whole_year,3333.0,27551.0,8.27
Bagalkot,2016 - 2017,urad,kharif,176.0,45.0,0.26
Bagalkot,2016 - 2017,wheat,rabi,22101.0,28303.0,1.28
Bagalkot,2017 - 2018,arhar_tur,kharif,23003.0,15974.0,0.69
Bagalkot,2017 - 2018,bajra,kharif,21826.0,34150.0,1.56
Bagalkot,2017 - 2018,coconut,whole_year,585.0,4626000.0,7907.69
Bagalkot,2017 - 2018,cotton,kharif,1389.0,4859.0,3.5
Bagalkot,2017 - 2018,cotton,rabi,143.0,108.0,0.76
Bagalkot,2017 - 2018,cowpea,kharif,60.0,14.0,0.23
Bagalkot,2017 - 2018,cowpea,rabi,115.0,47.0,0.41
Bagalkot,2017 - 2018,drychillies,kharif,2083.0,1773.0,0.85
Bagalkot,2017 - 2018,drychillies,rabi,1704.0,4371.0,2.57
Bagalkot,2017 - 2018,garlic,whole_year,15.0,13.0,0.87
Bagalkot,2017 - 2018,ginger,whole_year,8.0,207.0,25.88
Bagalkot,2017 - 2018,gram,rabi,105262.0,73599.0,0.7
Bagalkot,2017 - 2018,groundnut,kharif,1271.0,999.0,0.79
Bagalkot,2017 - 2018,horse-gram,kharif,420.0,390.0,0.93
Bagalkot,2017 - 2018,horse-gram,rabi,510.0,179.0,0.35
Bagalkot,2017 - 2018,jowar,kharif,354.0,1078.0,3.05
Bagalkot,2017 - 2018,jowar,rabi,110581.0,128268.0,1.16
Bagalkot,2017 - 2018,linseed,rabi,1015.0,320.0,0.32
Bagalkot,2017 - 2018,maize,kharif,41804.0,191023.0,4.57
Bagalkot,2017 - 2018,maize,rabi,18938.0,79287.0,4.19
Bagalkot,2017 - 2018,moong,kharif,39021.0,4930.0,0.13
Bagalkot,2017 - 2018,nigerseed,kharif,40.0,9.0,0.23
Bagalkot,2017 - 2018,onion,kharif,20452.0,316796.0,15.49
Bagalkot,2017 - 2018,onion,rabi,5004.0,85706.0,17.13
Bagalkot,2017 - 2018,other_kharif_pulses,kharif,91.0,14.0,0.15
Bagalkot,2017 - 2018,safflower,rabi,1312.0,707.0,0.54
Bagalkot,2017 - 2018,sesamum,kharif,282.0,285.0,1.01
Bagalkot,2017 - 2018,small_millets,kharif,220.0,120.0,0.55
Bagalkot,2017 - 2018,soyabean,kharif,949.0,1111.0,1.17
Bagalkot,2017 - 2018,sugarcane,whole_year,83339.0,6729624.0,80.75
Bagalkot,2017 - 2018,sunflower,kharif,30818.0,33142.0,1.08
Bagalkot,2017 - 2018,sunflower,rabi,2198.0,1819.0,0.83
Bagalkot,2017 - 2018,sweetpotato,whole_year,1.0,13.0,13.0
Bagalkot,2017 - 2018,turmeric,whole_year,4059.0,20875.0,5.14
Bagalkot,2017 - 2018,urad,kharif,1874.0,166.0,0.09
Bagalkot,2017 - 2018,wheat,rabi,22675.0,33798.0,1.49
Bagalkot,2018 - 2019,arhar_tur,kharif,42565.0,19329.0,0.45
Bagalkot,2018 - 2019,bajra,kharif,18210.0,27887.0,1.53
Bagalkot,2018 - 2019,cashewnut,whole_year,16.0,19.0,1.19
Bagalkot,2018 - 2019,castorseed,kharif,2.0,1.0,0.5
Bagalkot,2018 - 2019,coconut,whole_year,361.0,2557000.0,7083.1
Bagalkot,2018 - 2019,coriander,whole_year,203.0,181.0,0.89
Bagalkot,2018 - 2019,cotton,kharif,1006.0,1973.0,1.96
Bagalkot,2018 - 2019,cowpea,kharif,10.0,4.0,0.4
Bagalkot,2018 - 2019,cowpea,rabi,40.0,11.0,0.28
Bagalkot,2018 - 2019,drychillies,kharif,3245.0,2691.0,0.83
Bagalkot,2018 - 2019,garlic,whole_year,7.0,46.0,6.57
Bagalkot,2018 - 2019,ginger,whole_year,6.0,92.3,15.38
Bagalkot,2018 - 2019,gram,rabi,109255.0,45253.0,0.41
Bagalkot,2018 - 2019,groundnut,kharif,2886.0,2712.0,0.94
Bagalkot,2018 - 2019,horse-gram,kharif,571.0,395.0,0.69
Bagalkot,2018 - 2019,horse-gram,rabi,434.0,92.0,0.21
Bagalkot,2018 - 2019,jowar,kharif,1144.0,2776.0,2.43
Bagalkot,2018 - 2019,jowar,rabi,95092.0,65314.0,0.69
Bagalkot,2018 - 2019,linseed,rabi,459.0,70.0,0.15
Bagalkot,2018 - 2019,maize,kharif,48516.0,202244.0,4.17
Bagalkot,2018 - 2019,maize,rabi,17465.0,63165.0,3.62
Bagalkot,2018 - 2019,moong,kharif,40834.0,8534.0,0.21
Bagalkot,2018 - 2019,nigerseed,kharif,4.0,1.0,0.25
Bagalkot,2018 - 2019,onion,kharif,27720.0,339603.0,12.25
Bagalkot,2018 - 2019,onion,rabi,6694.0,109622.0,16.38
Bagalkot,2018 - 2019,other_kharif_pulses,kharif,201.0,92.0,0.46
Bagalkot,2018 - 2019,potato,kharif,6.0,48.0,8.0
Bagalkot,2018 - 2019,ragi,kharif,24.0,29.0,1.21
Bagalkot,2018 - 2019,rice,kharif,54.0,154.0,2.85
Bagalkot,2018 - 2019,safflower,rabi,260.0,70.0,0.27
Bagalkot,2018 - 2019,sannhamp,whole_year,12.0,3.0,0.25
Bagalkot,2018 - 2019,sesamum,kharif,248.0,165.0,0.67
Bagalkot,2018 - 2019,small_millets,kharif,155.0,63.0,0.41
Bagalkot,2018 - 2019,soyabean,kharif,795.0,974.0,1.23
Bagalkot,2018 - 2019,sugarcane,whole_year,101924.0,7843052.0,76.95
Bagalkot,2018 - 2019,sunflower,kharif,32562.0,32512.0,1.0
Bagalkot,2018 - 2019,sunflower,rabi,6307.0,3984.0,0.63
Bagalkot,2018 - 2019,sweetpotato,whole_year,8.0,116.0,14.5
Bagalkot,2018 - 2019,tapioca,whole_year,1.0,13.0,13.0
Bagalkot,2018 - 2019,tobacco,whole_year,2.0,2.0,1.0
Bagalkot,2018 - 2019,turmeric,whole_year,4549.0,26816.0,5.89
Bagalkot,2018 - 2019,urad,kharif,1737.0,883.0,0.51
Bagalkot,2018 - 2019,wheat,rabi,24665.0,39647.0,1.61
Bagalkot,2019 - 2020,arecanut,whole_year,4.0,43.0,10.75
Bagalkot,2019 - 2020,arhar_tur,kharif,50933.0,30145.0,0.59
Bagalkot,2019 - 2020,bajra,kharif,41733.0,69104.0,1.66
Bagalkot,2019 - 2020,cashewnut,whole_year,15.0,21.0,1.4
Bagalkot,2019 - 2020,castorseed,kharif,9.0,8.0,0.89
Bagalkot,2019 - 2020,coconut,whole_year,366.0,3017000.0,8243.17
Bagalkot,2019 - 2020,cotton,kharif,1052.0,3039.0,2.89
Bagalkot,2019 - 2020,cotton,rabi,169.0,122.0,0.72
Bagalkot,2019 - 2020,cowpea,kharif,58.0,16.0,0.28
Bagalkot,2019 - 2020,cowpea,rabi,659.0,322.0,0.49
Bagalkot,2019 - 2020,drychillies,kharif,125.0,138.0,1.1
Bagalkot,2019 - 2020,garlic,whole_year,5.0,26.0,5.2
Bagalkot,2019 - 2020,ginger,whole_year,4.0,41.8,10.45
Bagalkot,2019 - 2020,gram,rabi,80228.0,66690.0,0.83
Bagalkot,2019 - 2020,groundnut,kharif,1991.0,2069.0,1.04
Bagalkot,2019 - 2020,horse-gram,kharif,597.0,590.0,0.99
Bagalkot,2019 - 2020,horse-gram,rabi,141.0,55.0,0.39
Bagalkot,2019 - 2020,jowar,kharif,5512.0,14049.0,2.55
Bagalkot,2019 - 2020,jowar,rabi,71138.0,94681.0,1.33
Bagalkot,2019 - 2020,linseed,rabi,27.0,18.0,0.67
Bagalkot,2019 - 2020,maize,kharif,48260.0,179995.0,3.73
Bagalkot,2019 - 2020,maize,rabi,11251.0,45266.0,4.02
Bagalkot,2019 - 2020,moong,kharif,39236.0,6970.0,0.18
Bagalkot,2019 - 2020,moong,rabi,65.0,16.0,0.25
Bagalkot,2019 - 2020,nigerseed,kharif,12.0,3.0,0.25
Bagalkot,2019 - 2020,onion,kharif,26641.0,266756.0,10.01
Bagalkot,2019 - 2020,onion,rabi,2770.0,60911.0,21.99
Bagalkot,2019 - 2020,other_kharif_pulses,kharif,232.0,121.0,0.52
Bagalkot,2019 - 2020,other_rabi_pulses,rabi,47.0,36.0,0.77
Bagalkot,2019 - 2020,potato,kharif,4.0,28.0,7.0
Bagalkot,2019 - 2020,potato,rabi,8.0,124.0,15.5
Bagalkot,2019 - 2020,ragi,kharif,46.0,80.0,1.74
Bagalkot,2019 - 2020,ragi,rabi,76.0,108.0,1.42
Bagalkot,2019 - 2020,rice,kharif,33.0,106.0,3.21
Bagalkot,2019 - 2020,safflower,rabi,583.0,426.0,0.73
Bagalkot,2019 - 2020,sannhamp,whole_year,122.0,72.0,0.59
Bagalkot,2019 - 2020,sesamum,kharif,549.0,331.0,0.6
Bagalkot,2019 - 2020,small_millets,kharif,463.0,180.0,0.39
Bagalkot,2019 - 2020,soyabean,kharif,641.0,459.0,0.72
Bagalkot,2019 - 2020,sugarcane,whole_year,82455.0,5788027.0,70.2
Bagalkot,2019 - 2020,sunflower,kharif,15571.0,12544.0,0.81
Bagalkot,2019 - 2020,sunflower,rabi,3855.0,2772.0,0.72
Bagalkot,2019 - 2020,sweetpotato,whole_year,10.0,193.0,19.3
Bagalkot,2019 - 2020,tapioca,whole_year,23.0,292.0,12.7
Bagalkot,2019 - 2020,tobacco,whole_year,7.0,6.0,0.86
Bagalkot,2019 - 2020,turmeric,whole_year,3580.0,25150.0,7.03
Bagalkot,2019 - 2020,urad,kharif,796.0,359.0,0.45
Bagalkot,2019 - 2020,urad,rabi,15.0,7.0,0.47
Bagalkot,2019 - 2020,wheat,rabi,21038.0,33757.0,1.6
Bagalkot,2020 - 2021,arecanut,whole_year,5.0,56.0,11.2
Bagalkot,2020 - 2021,arhar_tur,kharif,51972.0,45579.0,0.88
Bagalkot,2020 - 2021,bajra,kharif,37379.0,71543.0,1.91
Bagalkot,2020 - 2021,bajra,rabi,204.0,267.0,1.31
Bagalkot,2020 - 2021,cashewnut,whole_year,27.0,34.0,1.26
Bagalkot,2020 - 2021,castorseed,kharif,40.0,36.0,0.9
Bagalkot,2020 - 2021,coconut,whole_year,351.0,2795.0,7.96
Bagalkot,2020 - 2021,cotton,kharif,2433.0,6998.0,2.88
Bagalkot,2020 - 2021,cotton,rabi,242.0,144.0,0.6
Bagalkot,2020 - 2021,cowpea,kharif,61.0,20.0,0.33
Bagalkot,2020 - 2021,cowpea,rabi,499.0,348.0,0.7
Bagalkot,2020 - 2021,drychillies,kharif,5148.0,4613.0,0.9
Bagalkot,2020 - 2021,garlic,whole_year,64.0,338.0,5.28
Bagalkot,2020 - 2021,ginger,whole_year,82.0,958.8,11.69
Bagalkot,2020 - 2021,gram,rabi,46355.0,40468.0,0.87
Bagalkot,2020 - 2021,groundnut,kharif,2746.0,2979.0,1.08
Bagalkot,2020 - 2021,horse-gram,kharif,755.0,532.0,0.7
Bagalkot,2020 - 2021,horse-gram,rabi,626.0,305.0,0.49
Bagalkot,2020 - 2021,jowar,kharif,1591.0,4918.0,3.09
Bagalkot,2020 - 2021,jowar,rabi,60010.0,84254.0,1.4
Bagalkot,2020 - 2021,linseed,rabi,13.0,8.0,0.62
Bagalkot,2020 - 2021,maize,kharif,61525.0,277170.0,4.5
Bagalkot,2020 - 2021,maize,rabi,14111.0,54779.0,3.88
Bagalkot,2020 - 2021,moong,kharif,20998.0,3927.0,0.19
Bagalkot,2020 - 2021,moong,rabi,47.0,14.0,0.3
Bagalkot,2020 - 2021,nigerseed,kharif,34.0,8.0,0.24
